CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,FREQUENCY
1,memory,0.19305690471098708,0.6529476720642811,MEMORY,3220.0
1,episodic_memory,0.16902637658184186,0.6529476720642811,MEMORY,2958.0
1,declarative_memory,0.16525775672865886,0.6529476720642811,MEMORY,909.0
1,recognition_memory,0.16061167764940648,0.6529476720642811,MEMORY,1793.0
1,remembering,0.1575572259559967,0.6529476720642811,MEMORY,1938.0
1,emotion,0.14571273958405362,0.6529476720642811,MEMORY,3290.0
1,recognition,0.14548535199392842,0.6529476720642811,MEMORY,2689.0
1,retrieval,0.14305198396262025,0.6529476720642811,MEMORY,2679.0
1,fear,0.14042580585614722,0.6529476720642811,MEMORY,1964.0
1,encoding,0.13867173681178313,0.6529476720642811,MEMORY,2261.0
1,emotional_memory,0.1367534437387493,0.6529476720642811,MEMORY,728.0
1,picture,0.13489906970511267,0.6529476720642811,MEMORY,2490.0
1,recall,0.12894139943605046,0.6529476720642811,MEMORY,3304.0
1,facial_expression,0.12556821527581286,0.6529476720642811,MEMORY,1798.0
1,source_memory,0.1251381662877043,0.6529476720642811,MEMORY,826.0
1,familiarity,0.12491607259828592,0.6529476720642811,MEMORY,2778.0
1,valence,0.12320815756181536,0.6529476720642811,MEMORY,2160.0
1,autobiographical_memory,0.12253931288674845,0.6529476720642811,MEMORY,1163.0
1,face,0.12042774669659305,0.6529476720642811,MEMORY,2240.0
1,episodic_simulation,0.120133213040513,0.6529476720642811,MEMORY,130.0
1,memory_process,0.11946169628640638,0.6529476720642811,MEMORY,879.0
1,encoding_task,0.1193897740186856,0.6529476720642811,MEMORY,619.0
1,arousal,0.11558450425615265,0.6529476720642811,MEMORY,3524.0
1,forgetting,0.11142240193901726,0.6529476720642811,MEMORY,671.0
1,semantic_memory,0.10413480418085028,0.6529476720642811,MEMORY,1363.0
2,reward,0.26953599060380995,0.6388413999462901,REWARD,2220.0
2,reward_processing,0.215336201614851,0.6388413999462901,REWARD,1540.0
2,reward_anticipation,0.20080234679984016,0.6388413999462901,REWARD,777.0
2,anticipation,0.1494180807277698,0.6388413999462901,REWARD,2860.0
2,decision_making,0.14845487577147048,0.6388413999462901,REWARD,3159.0
2,reward_learning,0.13825570969598616,0.6388413999462901,REWARD,463.0
2,valence,0.1359051973742492,0.6388413999462901,REWARD,2160.0
2,monetary_incentive_delay_task,0.1298176553374385,0.6388413999462901,REWARD,310.0
2,expectancy,0.12017851703474135,0.6388413999462901,REWARD,1689.0
2,instrumental_conditioning,0.11651807358660154,0.6388413999462901,REWARD,325.0
2,salience,0.11447419395654393,0.6388413999462901,REWARD,3622.0
2,addiction,0.11220312202008996,0.6388413999462901,REWARD,1437.0
2,arousal,0.10925371869111836,0.6388413999462901,REWARD,3524.0
2,reinforcement_learning,0.10548212015684116,0.6388413999462901,REWARD,717.0
2,taste,0.1037012081727628,0.6388413999462901,REWARD,960.0
2,gambling,0.10269616751062713,0.6388413999462901,REWARD,400.0
2,intertemporal_choice,0.10189711584111956,0.6388413999462901,REWARD,231.0
2,loss,0.09990564331151472,0.6388413999462901,REWARD,3125.0
2,loss_aversion,0.09626718464503936,0.6388413999462901,REWARD,186.0
2,loss_anticipation,0.09364790549047132,0.6388413999462901,REWARD,92.0
3,reward,0.13135267415165064,0.6102005999742882,COGNITIVE,2220.0
3,anticipation,0.12797356492063658,0.6102005999742882,COGNITIVE,2860.0
3,monitoring,0.12394997287126674,0.6102005999742882,COGNITIVE,2955.0
3,arousal,0.11658770599790234,0.6102005999742882,COGNITIVE,3524.0
3,decision_making,0.11346974145725315,0.6102005999742882,COGNITIVE,3159.0
3,cognitive_control,0.10312569916788702,0.6102005999742882,COGNITIVE,3250.0
3,reaction_time,0.10125474305318977,0.6102005999742882,COGNITIVE,4775.0
