CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,FREQUENCY
1,memory,0.1885689396414354,0.6288417539397524,MEMORY,3220.0
1,episodic_memory,0.16883465580444973,0.6288417539397524,MEMORY,2958.0
1,declarative_memory,0.15741492887475655,0.6288417539397524,MEMORY,909.0
1,recognition_memory,0.1513812553042299,0.6288417539397524,MEMORY,1793.0
1,remembering,0.14787632051590388,0.6288417539397524,MEMORY,1938.0
1,retrieval,0.14619444842903567,0.6288417539397524,MEMORY,2679.0
1,encoding,0.13256266000666778,0.6288417539397524,MEMORY,2261.0
1,recognition,0.129305320834272,0.6288417539397524,MEMORY,2689.0
1,recall,0.12368326112258173,0.6288417539397524,MEMORY,3304.0
1,autobiographical_memory,0.11737419991185336,0.6288417539397524,MEMORY,1163.0
1,episodic_simulation,0.11690099073417674,0.6288417539397524,MEMORY,130.0
1,spatial_memory,0.11683806153667205,0.6288417539397524,MEMORY,712.0
1,familiarity,0.11555339943799298,0.6288417539397524,MEMORY,2778.0
1,semantic_memory,0.11310896499484972,0.6288417539397524,MEMORY,1363.0
1,source_memory,0.11300106620663306,0.6288417539397524,MEMORY,826.0
1,encoding_task,0.11054537306501548,0.6288417539397524,MEMORY,619.0
1,memory_process,0.11010869469294636,0.6288417539397524,MEMORY,879.0
1,cognitive_map,0.10610689715200748,0.6288417539397524,MEMORY,183.0
1,remote_memory,0.104271893100234,0.6288417539397524,MEMORY,143.0
2,fear,0.2253748149966777,0.6687382097676836,EMOTION,1964.0
2,emotion,0.22490248573023908,0.6687382097676836,EMOTION,3290.0
2,facial_expression,0.19289377893059487,0.6687382097676836,EMOTION,1798.0
2,valence,0.19162499208763167,0.6687382097676836,EMOTION,2160.0
2,arousal,0.17379363811189552,0.6687382097676836,EMOTION,3524.0
2,memory,0.16396216012350553,0.6687382097676836,EMOTION,3220.0
2,emotional_memory,0.15742458328789266,0.6687382097676836,EMOTION,728.0
2,face,0.15691201703696347,0.6687382097676836,EMOTION,2240.0
